splitr_count	splitr_span_pvalue	splitr_pos_pvalue	splitr_min_pvalue	adjacent	altsplice	break_adj_entropy1	break_adj_entropy2	break_adj_entropy_min	break_predict	breakpoint_homology	breakseqs_estislands_percident	cdna_breakseqs_percident	coding1	coding2	concordant_ratio	deletion	downstream1	downstream2	est_breakseqs_percident	eversion	exonboundaries	exonic1	exonic2	expression1	expression2	gene_align_strand1	gene_align_strand2	genome_breakseqs_percident	interchromosomal	interrupted_index1	interrupted_index2	intronic1	intronic2	inversion	max_map_count	max_repeat_proportion	mean_map_count	min_map_count	num_multi_map	num_splice_variants	orf	read_through	repeat_proportion1	repeat_proportion2	span_count	span_coverage1	span_coverage2	span_coverage_max	span_coverage_min	splice_score	splicing_index1	splicing_index2	upstream1	upstream2	utr3p1	utr3p2	utr3pexchange	utr5p1	utr5p2	utr5pexchange	validated
1	8.56E-10	0.1327455	0.0769812	N	N	2.035971564	3.59784511	2.035971564	splitr	7	0.086956522	0.101449275	N	Y	0	N	N	N	0.101449275	N	N	N	Y	314	3941	+	-	0.086956522	Y	1	1	Y	N	N	22	0.342105263	7.6	2	5	1	N	N	0.342105263	0	5	0.476698958	0.909491433	0.909491433	0.476698958	2	0	0	N	N	N	Y	N	N	N	N	N
41	0.8865084	0.8737912	0.6167692	N	N	3.465514472	3.142153083	3.142153083	splitr	2	0.008583691	0	N	N	0	N	N	N	0	N	N	Y	N	1666	47	+	+	0.008583691	N	1	1	N	Y	Y	94	0.516245487	3.300970874	1	7	1	N	N	0	0.516245487	103	1.086082041	1.291179079	1.291179079	1.086082041	1	0	0	N	N	Y	N	N	N	N	N	Y
7	0.8469649	0.7292716	0.1145388	N	N	3.218000659	3.64081336	3.218000659	splitr	2	0.004878049	0.004878049	Y	N	0	N	N	N	0	N	N	Y	N	395	90	-	+	0.004878049	N	1	1	N	Y	Y	1	0.765306122	1	1	0	2	N	N	0	0.765306122	38	1.351775931	0.913614078	1.351775931	0.913614078	0	0	0	N	N	Y	N	N	N	N	N	Y
10	0.3077505	0.3061727	0.4466413	N	N	2.56650437	3.669516321	2.56650437	splitr	4	0.014492754	0.014492754	N	Y	0	Y	N	N	0.202898551	N	Y	Y	Y	11	72	+	-	0	N	1	1	N	N	N	12	0.454545455	9.157894737	5	19	2	N	N	0.454545455	0	19	0.316976727	0.461057058	0.461057058	0.316976727	4	0	0	N	N	N	N	N	Y	Y	Y	Y
25	1.45E-20	0.003085172	0.003326882	N	N	3.26191385	3.464017394	3.26191385	splitr	0	0	0	N	Y	0.333333333	N	N	N	0	N	N	N	Y	70	10441	+	+	0	Y	2.091125198	1.011417602	Y	N	N	11	0	8.333333333	3	6	1	N	N	0	0	6	0.264233081	0.436559003	0.436559003	0.264233081	2	0	480.3333333	N	N	N	N	N	N	N	N	N
1	0.3313819	0.973747	0.9118545	N	N	3.69784856	3.568078574	3.568078574	splitr	3	0.018348624	0.013761468	Y	Y	0	N	N	N	0.013761468	N	Y	Y	Y	94	433	+	-	0	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	4	0.551644847	0.404539554	0.551644847	0.404539554	4	0	0	N	N	N	N	N	N	N	N	Y
2	0.3723455	0.5070224	0.6769547	Y	N	3.532960118	3.394876331	3.394876331	splitr	0	0.005464481	1.11E-16	Y	Y	0	N	N	N	1.11E-16	Y	Y	Y	Y	1326	205	-	+	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	19	1.372110554	0.679911498	1.372110554	0.679911498	4	0	0	N	N	N	N	N	N	N	N	Y
2	0.4466348	0.0890998	0.05175475	N	N	3.631930497	3.313195901	3.313195901	splitr	5	4.44E-16	0	N	N	0	N	N	N	0	Y	N	N	N	909	531	+	-	4.44E-16	N	1	1	Y	Y	N	1	0	1	1	0	2	N	N	0	0	2	0.20479262	0.20479262	0.20479262	0.20479262	3	0	0	N	N	N	N	N	N	N	N	Y
1	0.3464136	0.5652428	0.6200718	N	N	3.511043375	3.295495376	3.295495376	splitr	3	0.025641026	0.025641026	Y	Y	0	N	N	N	0.025641026	Y	Y	Y	Y	438	15	+	-	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	4	0.393047365	0.502931575	0.502931575	0.393047365	4	0	0	N	N	N	N	N	N	N	N	Y
2	0.004688837	0.9683276	0.2495305	N	N	3.640244299	3.221634234	3.221634234	splitr	2	0	0	Y	Y	0	Y	N	N	0	N	Y	Y	Y	68	54	-	+	0	N	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	3	0.525132759	0.601297053	0.601297053	0.525132759	4	0	0	N	N	N	N	N	N	N	N	Y
17	0.1151209	0.5632847	0.5575275	Y	N	3.602565189	3.397436984	3.397436984	splitr	9	0.00591716	0	Y	Y	0	N	N	N	0.014792899	Y	Y	Y	Y	33	851	-	+	0.00591716	N	1	1	N	N	N	1	0	1	1	0	3	Y	N	0	0	54	1.488555419	1.4841644	1.488555419	1.4841644	4	0	0	N	N	Y	N	N	N	N	N	Y
1	0.1799107	0.2483877	0.1860012	N	N	3.236804612	3.175112114	3.175112114	splitr	7	0	0	N	Y	0	N	N	N	0	N	N	N	Y	0	612	-	+	0	N	1	1	N	N	Y	1	0	1	1	0	2	N	N	0	0	2	0.219550947	0.219550947	0.219550947	0.219550947	1	0	0	N	N	N	N	N	N	Y	N	Y
24	0.9212104	0.5450969	0.7543377	N	N	3.575888515	3.497440433	3.497440433	splitr	0	0	0.025362319	Y	Y	0	N	N	N	0	N	Y	Y	Y	143	543	-	+	0	Y	1	1	N	N	N	2	0	1.011627907	1	1	3	Y	N	0	0	43	1.19435715	1.453427267	1.453427267	1.19435715	4	0	0	N	N	Y	N	N	N	N	N	Y
9	0.5787053	0.2419543	0.3402171	N	N	3.361877447	3.502729573	3.361877447	splitr	2	0	0.006688963	Y	Y	0	N	N	N	0	N	N	Y	Y	281	112	+	-	0	Y	1	1	N	N	N	1	0	1	1	0	2	Y	N	0	0	29	1.273395491	1.422690135	1.422690135	1.273395491	2	0	0	N	N	N	N	N	N	N	N	Y
1	0.07509168	0.7144674	0.7588678	Y	N	3.460794393	3.24359083	3.24359083	splitr	3	0.011029412	0.011029412	Y	Y	0	N	N	N	0.011029412	N	Y	Y	Y	1857	23	-	+	0.011029412	N	1	1	N	N	Y	1	0	1	1	0	1	Y	N	0	0	3	0.572626839	0.389386251	0.572626839	0.389386251	4	0	0	N	N	N	N	N	N	Y	N	Y
6	0.7174658	0.2512743	0.4523344	N	N	3.650822579	3.371926518	3.371926518	splitr	3	0.013422819	0.020134228	Y	Y	0	N	N	N	0.020134228	N	Y	Y	Y	10	34	-	+	0	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	4	0.503911618	0.580261864	0.580261864	0.503911618	4	0	0	N	N	N	N	N	N	N	N	Y
14	0.6781103	0.6838705	0.671191	N	N	3.611046824	3.71720465	3.611046824	splitr	1	0	0.003676471	Y	Y	0	N	N	N	0.003676471	N	Y	Y	Y	2098	549	-	+	0	Y	1	1	N	N	N	1	0	1	1	0	2	Y	N	0	0	91	1.044799082	1.234424538	1.234424538	1.044799082	4	0	0	N	N	N	Y	N	N	N	N	Y
6	0.4372607	0.7369818	0.6688507	N	N	3.471298125	3.495374294	3.471298125	splitr	1	0	0	Y	Y	0	N	N	N	0	Y	Y	Y	Y	44	3699	-	+	0	N	1	1	N	N	N	1	0	1	1	0	3	N	N	0	0	27	0.870046211	1.182370491	1.182370491	0.870046211	4	0	0	N	N	Y	N	N	N	Y	N	Y
15	0.8958284	0.9106915	0.28038	N	N	3.30591517	3.22526781	3.22526781	splitr	3	0.006802721	0.006802721	Y	Y	0	N	N	N	0.799319728	N	Y	Y	Y	7993	29	+	-	0.006802721	Y	1	1	N	N	N	1	0	1	1	0	1	N	N	0	0	67	1.182370491	1.100571275	1.182370491	1.100571275	4	0	0	N	N	N	N	N	N	N	N	Y
11	1	0.9266208	0.6523693	N	N	3.507449652	3.34152814	3.34152814	splitr	1	0.01369863	0.00456621	Y	Y	0	N	N	N	0.00456621	N	Y	Y	Y	2765	455	-	+	0	Y	1	1	N	N	N	2	0	1.926829268	1	38	1	N	N	0	0	41	1.282064202	1.000947135	1.282064202	1.000947135	4	0	0	N	N	N	N	N	N	N	N	Y
10	1	0.2120273	0.4087968	N	N	3.446158382	3.487431215	3.446158382	splitr	85	0.483870968	0.483870968	N	N	0	N	N	N	0.467741935	N	N	Y	N	19769	2411	-	+	0.483870968	Y	1	1	N	Y	N	8	1	3.4	1	3	1	N	N	0	1	5	0.6497419	0.245848286	0.6497419	0.245848286	2	0	0	Y	N	Y	N	N	N	N	N	N
12	0.5912774	0.01106735	0.01355637	N	N	3.151035946	3.530399465	3.151035946	splitr	7	0.045454545	0.045454545	N	Y	0	N	N	N	0.083333333	N	N	N	Y	152	13546	+	-	0.045454545	Y	1	1	Y	N	N	4	0	2.333333333	1	4	1	N	N	0	0	6	0.49079226	0.591639985	0.591639985	0.49079226	1	0	0	N	N	N	N	N	N	Y	N	N
2	7.58E-06	0.0425364	0.01979211	N	Y	3.364013944	3.518893168	3.364013944	splitr	1	0.982758621	0	N	Y	0.2	N	N	N	0.75	N	N	N	Y	44	126	-	+	0.767241379	Y	1	1	N	N	N	21	0	15	10	5	1	N	N	0	0	5	0.789523364	0.681157412	0.789523364	0.681157412	1	0	0	Y	N	N	N	N	N	N	N	N
